GitHub Repo,Label1 (Y/N),Label2 (Y/N),Final Label
freewym/espresso,Y,Y,Y
fritzlabs/fritz-models,N,N,N
funcwj/setk,N,N,N
galaxyproject/galaxy,Y,Y,Y
geomstats/geomstats,Y,Y,Y
geoopt/geoopt,Y,Y,Y
geyang/ml_logger,Y,Y,Y
gjy3035/C-3-Framework,N,Y,
google-research/google-research,Y,Y,Y
google-research/meta-dataset,Y,Y,Y
google-research/tensor2robot,Y,Y,Y
google-research/text-to-text-transfer-transformer,Y,Y,Y
google/TensorNetwork,Y,Y,Y
google/automl,Y,Y,Y
google/clusterfuzz,Y,Y,Y
google/fhir,Y,Y,Y
google/flax,Y,Y,Y
google/ml-metadata,N,Y,
google/nucleus,Y,Y,Y
google/qkeras,Y,Y,Y
google/tf-quant-finance,Y,Y,Y
graknlabs/kglib,Y,Y,Y
graphbrain/graphbrain,Y,Y,Y
greentfrapp/lucent,Y,Y,Y
guildai/guildai,Y,Y,Y
guillaume-be/rust-bert,Y,Y,Y
hamelsmu/code_search,N,Y,
hanxiao/bert-as-service,N,Y,
hasanirtiza/Pedestron,Y,Y,Y
hastagAB/Awesome-Python-Scripts,N,N,N
heartexlabs/label-studio,N,Y,
henrysky/astroNN,Y,Y,Y
heronsystems/adeptRL,Y,Y,Y
home-assistant/core,Y,Y,Y
hrpan/tetris_mcts,N,N,N
hse-aml/natural-language-processing,N,Y,
hudson-and-thames/research,N,Y,
huggingface/neuralcoref,N,Y,
huggingface/transformers,Y,Y,Y
hunglc007/tensorflow-yolov4-tflite,Y,Y,Y
hunkim/DeepLearningZeroToAll,N,N,N
hunkim/PyTorchZeroToAll,N,N,N
huseinzol05/Malaya,Y,Y,Y
huseinzol05/NLP-Models-Tensorflow,N,Y,
hysts/pytorch_image_classification,N,Y,
idealo/image-super-resolution,Y,Y,Y
inferno-pytorch/inferno,Y,Y,Y
interpretml/DiCE,Y,Y,Y
interpretml/interpret-community,Y,Y,Y
interpretml/interpret-text,Y,Y,Y
ironmussa/Optimus,Y,Y,Y
iskandr/fancyimpute,Y,Y,Y
jaakkopasanen/AutoEq,N,Y,
jakeret/tf_unet,N,Y,
jantic/DeOldify,N,Y,
jeongyoonlee/Kaggler,Y,Y,Y
jessevig/bertviz,N,Y,
jettify/pytorch-optimizer,Y,Y,Y
jim-schwoebel/voicebook,Y,N,
joe-siyuan-qiao/DetectoRS,Y,Y,Y
joeynmt/joeynmt,Y,Y,Y
jrzaurin/pytorch-widedeep,Y,Y,Y
jtyoui/Jtyoui,N,N,N
junyanz/pytorch-CycleGAN-and-pix2pix,Y,Y,Y
kakao/buffalo,Y,Y,Y
kakaobrain/torchgpipe,Y,Y,Y
kan-bayashi/PytorchWaveNetVocoder,Y,Y,Y
kaushaltrivedi/fast-bert,Y,Y,Y
kdexd/virtex,N,N,N
keiohta/tf2rl,N,Y,
keras-team/autokeras,Y,Y,Y
keras-team/keras-tuner,Y,Y,Y
kerlomz/captcha_platform,N,Y,
kermitt2/delft,N,Y,
kermitt2/grobid,Y,Y,Y
keunwoochoi/kapre,Y,Y,Y
kipoi/kipoi,Y,Y,Y
kk7nc/HDLTex,N,Y,
kk7nc/RMDL,N,Y,
kleinee/jns,N,N,N
knazeri/edge-connect,N,N,N
koaning/scikit-lego,Y,Y,Y
kornia/kornia,Y,Y,Y
koursaros-ai/nboost,Y,Y,Y
kubeflow-kale/kale,Y,Y,Y
kubeflow/examples,N,Y,
kubeflow/fairing,Y,Y,Y
kubeflow/katib,Y,Y,Y
kubeflow/kfserving,Y,Y,Y
kubeflow/pipelines,Y,Y,Y
kundajelab/deeplift,Y,Y,Y
kwotsin/mimicry,Y,Y,Y
l3p-cv/lost,Y,Y,Y
lab-ml/labml,Y,Y,Y
learnables/cherry,Y,Y,Y
learnables/learn2learn,Y,Y,Y
leela-zero/leela-zero,?,N,
limbo018/DREAMPlace,Y,Y,Y
loujie0822/DeepIE,N,N,N
lsds/KungFu,Y,Y,Y
lucidrains/reformer-pytorch,Y,Y,Y
lufficc/SSD,N,Y,
lukas/ml-class,N,Y,
